,ABMAG,DEC,DITHER,IDX,RA,SOURCE,THETA,VEL
171,21.0653850556,-21.6650103543,4,171,7.98951250408,42,330.678629333,0.174922670405
175,25.7755814182,-21.5403123093,4,175,8.31842528447,43,88.0112527913,0.0151176390276
179,22.5155016216,-21.664800408,4,179,8.06579555593,44,164.91089422,0.125455205107
183,22.5443146793,-21.5473228611,4,183,8.26718195028,45,91.0773658157,29.7142480312
187,22.7788932184,-21.3049319317,4,187,8.03796236662,46,136.559984934,0.100249010878
191,22.2423388929,-21.2473623967,4,191,8.33188710733,47,217.633978307,0.403385459811
195,22.793048601,-21.304595244,4,195,8.05288404875,48,278.056353485,3.60260275352
199,20.2110095688,-21.4170816708,4,199,7.97692639323,49,24.450298846,19.1111199033
203,20.5056360184,-21.3920003284,4,203,8.08626057872,50,246.990628507,0.0407282975563
207,24.3951241889,-21.5192623832,4,207,7.93671690954,51,197.373635062,0.0547790985403
211,23.817199963,-21.6155857582,4,211,8.30055757589,52,49.674978993,0.0288828951553
215,20.1674467332,-21.4818716827,4,215,7.96558699502,53,35.5511589138,0.0531630402402
219,21.8010203589,-21.3262295402,4,219,8.08226258184,54,88.4012779169,28.9819574858
223,21.325115125,-21.6685412648,4,223,8.36214094462,55,54.6431985304,0.0720472592635
227,20.33011996,-21.6896362593,4,227,8.38381821656,56,333.358012616,0.0241361600453
231,23.1394764247,-21.3148542346,4,231,8.11809201866,57,244.837805618,0.557992519966
235,22.4982179438,-21.5499263901,4,235,8.30306900556,58,85.5572118767,0.385470243745
239,20.289312499,-21.3497992455,4,239,8.01486162915,59,204.79869092,3.58023543351
243,23.4344270932,-21.3327937609,4,243,8.18834243207,60,200.387538516,1.4424341156
247,24.8210999041,-21.2333858647,4,247,8.341744957,61,26.1853959184,1.44389790376
251,20.6816103172,-21.499842928,4,251,8.15728349011,62,302.29506375,0.0332788613448
255,21.6627032866,-21.5206751227,4,255,8.18494416008,63,145.915017371,0.744124947157
259,23.8500685501,-21.2967113481,4,259,7.90964496774,64,52.1535560567,0.0262096944709
263,22.9564238326,-21.3177463935,4,263,8.06859401604,65,68.73122112,0.0340477404126
267,23.039336454,-21.3736871433,4,267,7.92971335647,66,176.630449343,0.367557617957
271,22.7686415604,-21.2945933156,4,271,8.04271132623,67,256.32877473,0.31041062503
275,25.3684584436,-21.3789779242,4,275,8.05625889111,68,354.577844772,3.55657535755
279,23.6346661588,-21.2212812145,4,279,8.27691838038,69,314.923140625,0.0180225898967
283,23.620133619,-21.5330626468,4,283,7.90995593681,70,179.655006204,0.0931906056373
287,22.6632311371,-21.3308677577,4,287,8.10475356121,71,38.4407978377,0.0375618087301
291,22.8802807,-21.2251603254,4,291,8.04759032513,72,328.756610516,0.584364823917
295,25.3306851634,-21.5326210242,4,295,8.20807216661,73,131.369745919,1.03306225606
299,21.2510029308,-21.3937665654,4,299,8.06323542783,74,81.5716356838,1.66156448441
303,25.6674887729,-21.5171750405,4,303,7.91155848079,75,314.075470444,0.0554872658822
307,20.4408202637,-21.469175514,4,307,8.33000467659,76,49.0890066333,0.283118414041
311,23.5709147398,-21.6623927443,4,311,8.27162940906,77,85.096857655,0.419922851989
315,20.1869064251,-21.6903311052,4,315,8.32904424347,78,214.343728327,0.0194465128638
319,23.9915445952,-21.3202707197,4,319,8.09852983009,79,203.012139268,0.961408703849
323,23.8243129708,-21.473624456,4,323,8.19280408434,80,345.216503514,0.0623136619913
327,25.1747909738,-21.3885820171,4,327,8.14673007773,81,163.16615996,0.0133117933804
331,25.649826274,-21.3258690073,4,331,8.1928718567,82,46.4249068483,22.5831882158
335,22.6737623205,-21.4906728921,4,335,8.02110813693,83,273.804363636,0.0181803268606
339,24.0197457946,-21.5153509789,4,339,8.04069914885,84,72.5882670411,3.46711599558
343,25.5459841978,-21.6153587174,4,343,7.90276380705,85,63.2627507567,0.559377753749
347,23.7165408006,-21.3030617448,4,347,8.04152636004,86,157.362484554,0.0209903220564
351,21.9355143963,-21.2833391666,4,351,8.01094741279,87,122.493889025,0.663491611459
355,21.9168578656,-21.3329102905,4,355,8.16886951336,88,348.211119082,0.323465899441
359,21.74874011,-21.262192832,4,359,8.17288073101,89,51.4893877515,0.804487861587
363,25.7445045424,-21.3797239751,4,363,8.13010092725,90,304.04107181,17.8292306283
367,22.4357500578,-21.3583710512,4,367,8.03284710101,91,240.986210393,28.8343760381
371,25.6793349342,-21.6031674597,4,371,7.92252007065,92,39.3497669086,2.00890894126
375,25.143143353,-21.3161611019,4,375,8.37944635542,93,31.7712744105,0.170354612112
379,24.1335659962,-21.5329764296,4,379,8.05993749682,94,347.92633486,0.336513264474
383,20.0197278125,-21.4798341059,4,383,8.13795733098,95,69.9470946767,4.97236198687
387,25.4006209979,-21.5403730366,4,387,8.37887966592,96,29.4840216066,1.53473540943
391,25.5191892258,-21.4158496411,4,391,8.11038623624,97,96.9784903008,0.0219142350069
395,20.0354561352,-21.3710328326,4,395,8.04886151165,98,234.046986485,1.84350253338
399,23.8575568906,-21.4139375621,4,399,8.14422631486,99,196.839808324,23.3343286473
403,22.3113018815,-21.5409223949,4,403,8.17906265253,100,250.820943787,0.0666669706206
407,23.5744513657,-21.5910118539,4,407,8.31702422837,101,346.715307973,0.232032109285
411,23.664842333,-21.2775258861,4,411,7.92404778362,102,99.9797507033,0.019383713181
415,23.5977151304,-21.5470723326,4,415,8.12245591965,103,84.1055262653,7.3044243005
419,21.8737039811,-21.4809109312,4,419,8.28098914374,104,304.441939612,0.101534527254
423,20.4192420486,-21.6542833889,4,423,8.24930292825,105,80.7164894249,0.0371741646432
427,24.8044054053,-21.549519109,4,427,8.18300747857,106,248.006267841,0.0369181857676
431,25.4686043008,-21.657133276,4,431,7.90856060605,107,55.2580693122,0.092579208646
435,21.1680477743,-21.5281407724,4,435,8.06532896813,108,73.295329016,0.0105817439457
439,21.2636458331,-21.3449294566,4,439,8.17252407658,109,24.3356016973,4.01341438734
443,22.2646446942,-21.2153796382,4,443,8.03985729774,110,269.814850357,9.30717576391
447,22.417083261,-21.3835836202,4,447,8.14795476697,111,64.8285823505,16.5492990334
451,25.3110661666,-21.5653281463,4,451,8.2267537337,112,44.73385569,0.112355540901
455,21.2129260602,-21.3715339276,4,455,7.96961469202,113,80.9306186072,0.44525495091
459,22.5140889649,-21.385564666,4,459,7.91506349599,114,100.605439314,3.75116915401
463,23.88775504,-21.2870758834,4,463,8.05936214899,115,12.1758231758,1.82955098398
467,23.0698577168,-21.4331313738,4,467,7.94403128822,116,91.5837066149,0.0852195566715
471,22.0029949131,-21.2444892005,4,471,7.97942342774,117,240.787694312,0.225706176742
475,24.6708406032,-21.495809208,4,475,8.33313577224,118,273.570869023,14.0485758619
479,20.8126108074,-21.5561045632,4,479,8.07281507252,119,81.365189136,3.47717726568
483,21.1502646335,-21.4404991517,4,483,7.99938110629,120,220.265852157,0.0184126822265
487,22.4155348874,-21.2387818185,4,487,8.26625936749,121,328.412190355,0.0521500294024
491,24.7210667915,-21.3388497559,4,491,7.94042980728,122,194.979826181,12.2684794407
495,21.5228491636,-21.4529942774,4,495,8.26225304662,123,134.620232247,0.272286216656
499,20.656912528,-21.4512507418,4,499,8.12490566048,124,4.75222520336,0.051417332225
503,25.5840560863,-21.3756747754,4,503,8.189147358,125,298.554370028,0.16081347306
507,20.7583237026,-21.4761773577,4,507,7.9638380681,126,293.962149977,0.271184980149
511,23.6300323422,-21.4241645165,4,511,7.9829594737,127,28.6992423922,4.22878706062
515,21.7407316195,-21.2144059017,4,515,8.21253954615,128,61.8031071638,0.0290234732719
519,23.7591763515,-21.2358198013,4,519,7.91556733926,129,301.7336516,9.38245912824
523,23.956855723,-21.2796781319,4,523,8.01425737303,130,203.09770039,0.20923728785
527,20.4063569698,-21.6363822556,4,527,8.16113643917,131,125.921596896,0.455158485468
531,22.1326575488,-21.4217337576,4,531,8.00339108463,132,52.201066628,0.0283504649965
535,22.0083444649,-21.5167733672,4,535,8.08072405339,133,35.4668673301,0.0884022427581
539,21.0650382033,-21.2459254197,4,539,8.34652690372,134,201.665310594,19.444344862
543,20.0480200387,-21.5432701631,4,543,8.3526503085,135,255.623720423,0.446058360838
547,20.0626304126,-21.2346196533,4,547,8.17338316139,136,342.313571745,0.0338848705486
551,23.5847528278,-21.5810381224,4,551,8.1567328568,137,269.298479565,0.831538174498
555,20.5078311221,-21.4895417055,4,555,7.89717604991,138,134.008564473,1.43926937846
559,21.8940094216,-21.2222903236,4,559,8.37907074437,139,273.051830015,8.95712019902
563,25.8117099738,-21.4022227446,4,563,8.176585271,140,25.5864644865,0.309161758414
567,25.2414953074,-21.2377003439,4,567,8.28195116124,141,223.864332822,21.4478865162
571,25.476703965,-21.4305868169,4,571,8.17077645368,142,259.457051024,0.0479114427912
575,21.0193895656,-21.5859403124,4,575,8.32882103735,143,15.0511028836,0.625523476875
579,21.9008474041,-21.3434798388,4,579,8.18204786428,144,142.287054575,0.249110342643
583,21.4506814143,-21.4391931599,4,583,8.24443742963,145,58.0819764439,0.0932133984737
587,22.9457298189,-21.4469476079,4,587,7.96421450118,146,99.389910592,1.26035365327
591,23.2636604574,-21.6317529893,4,591,8.1042260765,147,81.5411963927,0.0189247719303
595,22.4327263225,-21.627414283,4,595,8.23689995784,148,109.68621491,0.526852826751
599,24.4544618791,-21.2351120809,4,599,7.94238396121,149,49.0440172039,0.44504689672
603,23.8623980946,-21.2228339776,4,603,8.10948727831,150,249.930020735,3.61813464619
607,23.9560601043,-21.2170258718,4,607,7.97312623665,151,19.0318327141,0.10480527662
611,20.8953421116,-21.521112451,4,611,8.14347672223,152,209.317788293,0.0568649073887
615,24.4795027388,-21.6770529896,4,615,8.29952356034,153,64.7021263076,0.0518595480366
619,23.8486855737,-21.4233137357,4,619,7.9284599118,154,182.408886201,25.9841294678
623,21.7893861754,-21.3317517048,4,623,8.29001560091,155,101.346781273,0.375725460905
627,22.2549673719,-21.3719886777,4,627,8.16881448839,156,133.227675954,21.5508241483
631,25.9317671911,-21.6736279327,4,631,8.18135885101,157,181.630408671,13.0578346632
635,22.0675696417,-21.583498334,4,635,7.98911263359,158,44.0392360648,0.341261447775
639,22.0606700039,-21.3470083621,4,639,8.10810523199,159,47.0391116542,0.266371371607
643,23.6819207263,-21.6728760606,4,643,8.03823403168,160,303.989132336,1.98725029988
647,23.7103562764,-21.2739368342,4,647,7.90527915179,161,141.191476829,17.6834241164
651,20.0801205331,-21.204065431,4,651,7.90611376957,162,61.0424923172,6.27296141729
655,23.446596769,-21.576207762,4,655,8.11658833932,163,288.424464631,0.44648632226
659,24.6660767125,-21.6730132666,4,659,8.26254398855,164,327.646306822,0.521797314162
663,25.6992924628,-21.2101705691,4,663,8.16865711225,165,298.647891751,0.0772750733584
667,24.2178930386,-21.3167124444,4,667,8.08248313022,166,257.058333372,1.29518214771
671,20.6972344007,-21.4728986361,4,671,7.97403981848,167,35.7723554358,0.0165956489106
675,21.4796088687,-21.4609994321,4,675,8.30934150831,168,328.78844785,0.97069432748
679,22.5136320843,-21.242250984,4,679,8.18952123734,169,208.07256462,0.0208010102898
683,23.7921892803,-21.5221811061,4,683,8.2814902256,170,324.09916263,0.645595291858
687,20.5728215208,-21.6735283141,4,687,8.31397450394,171,202.885261873,1.19704336984
691,22.3418552565,-21.3929385406,4,691,8.19281324506,172,3.54435868789,4.85923303273
695,21.9318055252,-21.5437337753,4,695,8.28070028265,173,357.926170607,0.66969675443
699,25.8279517636,-21.3589068703,4,699,8.19815416769,174,47.6632210975,1.67046418368
703,25.8150942777,-21.2262048176,4,703,7.90051481843,175,249.349052787,0.756695595079
707,24.4605078094,-21.5196916841,4,707,8.26522154794,176,120.343770857,0.0838421353018
711,23.1061357702,-21.5764731952,4,711,7.97803407133,177,64.8733527393,0.120589619099
715,20.9868797367,-21.6734559067,4,715,8.11931305959,178,50.6151594618,0.347225839327
719,25.6962894223,-21.284215388,4,719,8.14653613818,179,240.92906783,0.204334724637
723,25.5309557281,-21.6605851538,4,723,8.13193128544,180,109.387538219,0.938933418456
727,25.295424202,-21.2239576135,4,727,8.31214056846,181,220.915632203,0.272657237481
731,20.3062316002,-21.3489917374,4,731,7.98222990744,182,336.815778701,20.6582771185
735,24.6496412926,-21.2439450298,4,735,7.89740540324,183,73.0457614398,1.18775067901
739,20.6353709145,-21.2927023834,4,739,8.31446462997,184,43.0596526161,0.445096932452
743,25.4323751998,-21.6000327943,4,743,8.2556104092,185,141.188638649,28.9382726721
747,23.5273189083,-21.6120627666,4,747,8.11834349717,186,250.034121591,0.0607745136267
751,25.9285385462,-21.2193388207,4,751,8.09853999043,187,340.188131928,0.379954990152
755,22.5719681391,-21.5544107406,4,755,7.94840728373,188,58.8176979857,0.32341332935
759,23.7790998737,-21.3044058627,4,759,8.05825673675,189,165.136790061,4.41114204032
763,24.6576880056,-21.6143623164,4,763,7.93728503309,190,100.39087847,0.971181953429
767,21.5589049266,-21.5498532553,4,767,8.2480918665,191,73.6560266385,2.46862301614
771,23.8334784156,-21.3631907437,4,771,7.92851806286,192,111.0009708,0.270702359119
775,24.960799851,-21.5758040492,4,775,7.99297922245,193,286.419445348,0.0570172454342
779,23.1278315499,-21.3240618814,4,779,8.17689498557,194,33.4245714864,0.0324095860784
783,22.5469108333,-21.2603862783,4,783,8.03692905045,195,312.846904131,0.0768492677947
787,23.1860182268,-21.5398660586,4,787,8.21789372477,196,300.137537191,0.238038893976
791,25.675868736,-21.5506500577,4,791,8.29178234827,197,245.445679155,0.0172976892954
795,25.9956419729,-21.6846601524,4,795,8.06517046792,198,106.493132698,6.05081633546
799,24.0255415331,-21.488666207,4,799,7.93672240315,199,59.8031267966,0.0173371006144
803,24.7374568223,-21.6672783778,4,803,8.29666103083,200,330.818864618,0.0134797280332
807,25.8895253282,-21.4126665942,4,807,8.28244464341,201,25.7130481387,0.049314016963
811,20.8493504729,-21.3560294717,4,811,8.08669469441,202,170.808505592,0.059278244064
815,20.1577221193,-21.4158308181,4,815,8.32222610063,203,129.682591117,0.0832225146471
819,24.4786565673,-21.3981343204,4,819,8.08201691662,204,57.5031897021,0.0112318494465
823,23.6995284442,-21.4001860614,4,823,8.01870582398,205,348.449673347,0.218543763454
827,20.5952281957,-21.2480869594,4,827,8.3048174088,206,78.8225322697,2.36528725341
831,23.1314160521,-21.4344907185,4,831,8.25819002439,207,256.240946298,0.0219772011589
835,23.0445918889,-21.2697579697,4,835,8.14427865155,208,316.467177731,2.59712280878
839,21.7141581555,-21.5240188293,4,839,8.21216072256,209,240.805365515,0.0208662101853
843,21.4906309356,-21.6274031477,4,843,7.99839911697,210,51.6673974127,11.4640857779
847,21.0820950812,-21.5891499052,4,847,8.33787890363,211,285.439673135,0.361306068731
851,23.5029384019,-21.303131623,4,851,8.37302317518,212,77.5845709746,0.916590045424
855,20.9235116441,-21.5851784485,4,855,8.04857228053,213,344.142011048,0.292660786769
859,24.2703655262,-21.3129479468,4,859,8.32414222041,214,29.8288836434,6.19950108878
863,25.1525144327,-21.248610701,4,863,8.04511808132,215,230.770830474,0.148003325145
867,24.1186482248,-21.427829,4,867,7.90260583296,216,220.840648346,0.136046021615
871,21.5907776529,-21.6283878734,4,871,7.91459125418,217,172.825853774,0.0250994753889
875,22.3821962412,-21.3867261991,4,875,7.98321310035,218,59.4695147939,6.97330941174
879,23.0780961513,-21.51024573,4,879,7.92451660001,219,90.7146558754,0.0223498390293
883,22.0652253248,-21.245781452,4,883,8.018737041,220,262.950239722,0.0215170884752
887,23.273613962,-21.5883535902,4,887,8.3474418845,221,345.132245305,2.65212189973
891,24.116700409,-21.5849486039,4,891,8.1230839106,222,333.288753362,18.3327262712
895,21.79815737,-21.4588250278,4,895,7.9551054524,223,265.463963581,0.0220225432028
899,21.2921469408,-21.4531963364,4,899,8.29494855749,224,84.1254695357,0.104822635622
903,24.7298527396,-21.606124315,4,903,8.09173557561,225,275.220999791,0.0283574441014
907,24.6550936757,-21.5127735924,4,907,7.90219836325,226,107.032399043,0.241413396836
911,20.2503557037,-21.3656792474,4,911,8.318368563,227,101.28885921,0.944516841251
915,23.8729122173,-21.4666790991,4,915,8.02736027616,228,276.264541843,7.68099953984
919,20.769158615,-21.6702122728,4,919,8.24452218865,229,246.883535644,0.308828010406
923,23.2859150177,-21.4910854246,4,923,8.06770192729,230,98.3138256424,5.01708649596
927,21.7491406799,-21.4920428857,4,927,8.28718613725,231,58.8719083796,0.240732181197
931,24.9550706972,-21.4761320173,4,931,8.31239631939,232,37.0498918219,0.428658722348
935,20.5841142317,-21.6880737621,4,935,8.15897893332,233,176.177361822,0.374198852869
939,25.3850714682,-21.5630181691,4,939,8.16955152193,234,299.910479499,0.0652521511993
943,22.0519348759,-21.224765143,4,943,7.95124050122,235,116.372403534,0.128434726628
947,20.7925118302,-21.2619502221,4,947,8.07380314328,236,214.53842369,23.9845995243
951,22.7454976905,-21.2296408881,4,951,8.1043757787,237,65.3908968543,0.0199896850308
955,20.5066268484,-21.3201944271,4,955,8.14542983709,238,115.826188261,1.57703581862
959,24.4413595595,-21.4830114551,4,959,8.33587860634,239,250.312939063,0.0313072227943
963,22.1824269127,-21.2312493886,4,963,8.03995450772,240,180.562597667,0.593783162283
967,22.0013669733,-21.5496780867,4,967,8.08822910337,241,313.43082007,0.0467575241239
971,20.6385479813,-21.4033948095,4,971,8.28663808149,242,298.13781489,0.0122313337142
975,21.1168737205,-21.4061362881,4,975,8.09609268264,243,107.191346505,0.604219889713
979,23.1154928286,-21.4796068043,4,979,7.98252142642,244,10.4738747255,0.350967875682
983,20.6757336743,-21.575246991,4,983,8.30978129839,245,231.544904021,2.16756635775
987,22.9035535368,-21.5347723362,4,987,8.17464814671,246,312.908012351,0.071984087806
991,25.588930262,-21.3832234918,4,991,7.92345181634,247,306.193484247,22.8485594958
995,22.3931311666,-21.5579818791,4,995,8.38453712781,248,5.32322471144,0.310982311143
999,21.0823519072,-21.5265173881,4,999,8.00466527413,249,54.5331290493,1.86007448352
1003,24.8329522417,-21.5223666551,4,1003,8.19761430465,250,65.6466996241,2.51551920042
1007,23.9644127719,-21.5326317555,4,1007,8.07300387503,251,101.491820004,19.9504241515
1011,23.6806106872,-21.2852387807,4,1011,8.29116419875,252,114.276676829,2.14298258291
1015,20.7432929296,-21.4271019395,4,1015,8.20379049855,253,29.3968570935,0.0432597925573
1019,22.1092492806,-21.6904698751,4,1019,8.30029938943,254,131.820671829,1.8237293375
1023,22.8385988097,-21.3301756889,4,1023,8.03552701896,255,325.430538945,6.69649005911
1027,22.2703118037,-21.4474328537,4,1027,8.02892287911,256,44.1797674465,8.37444651938
1031,21.3315419973,-21.3106560347,4,1031,8.19054712059,257,281.655640555,0.412687374232
1035,21.3612817371,-21.4525294238,4,1035,8.35976284317,258,20.4670280155,2.12550131343
1039,20.8569688697,-21.543013091,4,1039,8.24738373984,259,22.7704970695,15.9517888314
1043,24.376550727,-21.2802980826,4,1043,8.02158100773,260,154.422280698,0.526333153336
1047,20.7380696565,-21.6133486126,4,1047,7.95126701275,261,347.961402576,0.398779771817
1051,21.9186678444,-21.5554855484,4,1051,8.12050187955,262,78.0303339627,21.6386750037
1055,22.3499577239,-21.4601382643,4,1055,8.38394428254,263,341.306262586,27.1766407674
1059,20.2276473167,-21.268756575,4,1059,8.2350006536,264,15.5075861141,19.2600313443
1063,20.9300677214,-21.6459668901,4,1063,7.99084608625,265,319.741556399,21.7691100667
1067,21.0238940373,-21.530663601,4,1067,7.91335160497,266,203.51562836,0.0773294679197
1071,24.6218732334,-21.4341933546,4,1071,8.36647489306,267,296.007051564,1.37321065505
1075,21.4351912463,-21.360810232,4,1075,8.31919390012,268,173.453359047,0.517631590568
1079,24.4830205234,-21.6472846787,4,1079,8.30395053836,269,90.5083489174,0.465761928582
1083,22.0849651079,-21.3223889996,4,1083,8.37197095136,270,303.877501157,0.146146516711
1087,23.9672802092,-21.4214544637,4,1087,8.18941357031,271,122.744180783,0.397856735503
1091,23.927323999,-21.441566546,4,1091,8.3554407065,272,262.928574596,0.550486536263
1095,21.3978556574,-21.50956601,4,1095,7.96338869061,273,343.844546985,0.0175591980296
1099,22.52584862,-21.5426973291,4,1099,7.94701544421,274,329.377415344,0.161468951217
1103,24.0592610933,-21.2547492016,4,1103,8.07598942591,275,183.457517812,0.0987141633923
1107,23.6320717175,-21.2030635428,4,1107,8.27328297281,276,86.5472242769,0.190217133027
1111,23.6520830392,-21.6143085681,4,1111,8.05107982993,277,284.872234217,7.80557024916
1115,20.2369005307,-21.5941993178,4,1115,8.20918783288,278,16.3917524357,0.698918860149
1119,25.4326157286,-21.366490925,4,1119,7.89462151889,279,323.988754089,0.0533881602141
1123,25.3343382854,-21.3177276916,4,1123,8.16171165264,280,203.656196526,0.0896977883006
1127,21.0720876963,-21.2880939284,4,1127,8.06303090015,281,5.81725300791,16.4390104195
1131,22.3274211695,-21.5487782271,4,1131,8.33900423204,282,187.16738295,0.0314393901355
1135,25.4458075649,-21.5954477944,4,1135,8.36030123735,283,177.751516153,0.206014112529
1139,22.712789301,-21.663606171,4,1139,8.0820868513,284,76.64470937,0.44194478063
1143,22.5997588207,-21.5119855976,4,1143,8.08789343923,285,222.522151668,0.883932653427
1147,24.2576736162,-21.4186962916,4,1147,8.34484552657,286,0.566337096359,24.4350329348
1151,20.9654128271,-21.2636500142,4,1151,7.91941870801,287,84.218551632,0.294090442957
1155,25.182510955,-21.6834839241,4,1155,8.09265379004,288,189.70611481,0.143222933661
1159,20.0831754887,-21.6533120035,4,1159,7.95570332673,289,71.6914509367,7.71549683639
1163,20.4445592566,-21.3677862418,4,1163,7.93370803289,290,87.7329100775,22.2291253046
1167,22.2554944582,-21.364337857,4,1167,8.28197832271,291,157.105165568,0.0163304572564
1171,21.4961811374,-21.6354712613,4,1171,8.049042248,292,20.0311951114,28.3121910559
1175,23.0757400693,-21.6509516928,4,1175,8.18226062108,293,74.9514169938,3.52866892868
1179,20.8608815415,-21.6860068916,4,1179,8.32924301647,294,26.5108059035,0.0436807278697
1183,23.849933008,-21.3756388968,4,1183,8.33039789371,295,287.433270946,0.0244896834483
1187,23.2346330228,-21.5600716818,4,1187,8.19047246761,296,180.897066041,0.0182561242224
1191,24.9794850546,-21.5791495171,4,1191,8.21258815242,297,94.1555305022,1.39754623513
1195,21.6147494477,-21.3677563203,4,1195,7.91832342922,298,286.84035214,0.12677485993
1199,21.0263343298,-21.6393565792,4,1199,8.03883925498,299,55.828364029,0.68143146425
1203,23.1585965865,-21.4318013836,4,1203,8.23589445464,300,311.751979139,0.0422819539127
1207,21.4511324524,-21.6531167701,4,1207,7.97882954823,301,165.968361932,23.0733666808
1211,22.7372846736,-21.6672208366,4,1211,8.29126998229,302,202.22828686,0.994413569281
1215,20.6988920681,-21.3638210531,4,1215,8.14659331884,303,112.408655697,8.14478077272
1219,23.5988397684,-21.3041560609,4,1219,8.26864461691,304,87.5087165026,0.144638753859
1223,25.019809356,-21.4652089148,4,1223,7.97828892309,305,99.6064298253,14.2852413543
1227,25.4739914678,-21.4988553438,4,1227,7.93125094858,306,129.572442063,0.365877385214
1231,25.7037624322,-21.349252311,4,1231,8.13097919697,307,205.190041752,0.247096034454
1235,23.4891762157,-21.6617021623,4,1235,8.15584365759,308,11.0688330191,5.68394270377
1239,23.0881418353,-21.5608158724,4,1239,8.23810524832,309,138.871661238,0.255550907043
1243,24.6602972715,-21.2448426469,4,1243,7.99075227015,310,122.834575448,11.8259740747
1247,24.0325839565,-21.2255713923,4,1247,8.22563977967,311,226.742293092,0.266515790857
1251,20.982725244,-21.6808059818,4,1251,8.28663837893,312,312.69555856,0.0215785568555
1255,22.5653501312,-21.6985879985,4,1255,7.91088610063,313,278.150198344,0.477548395465
1259,20.926355964,-21.3161237863,4,1259,8.3728920627,314,356.893553168,4.78433403506
1263,23.4002095838,-21.4740568187,4,1263,8.37768942958,315,149.7356858,0.031587413502
1267,23.0546185381,-21.3187737057,4,1267,8.16533289158,316,77.272468408,0.0446699487562
1271,22.7226710965,-21.3788075164,4,1271,7.92301306526,317,331.879171656,2.49817004213
